,OBJECTID,GEO_ID,LFN_ID,LF_NAME,FNODE,TNODE,ONE_WAY_DI,length_in_,GEO_ID_1,LTS,Shape_Leng,geometry,index_left,Count Date,8 Peak Hr Vehicle Volume,8 Peak Hr Pedestrian Volume
350,351,5524334,458,Bloor St W,13469001,13469038,0,102.83643582,5524334,3,0.00124654958093,"LINESTRING (615672.0361408792 4832303.442524277, 615574.5970015409 4832270.608520225)","(2149.0,)","('09-23-2014',)",13433.0,120.0
373,374,912561,458,Bloor St W,13468898,13468937,0,113.504515758,912561,3,0.00137382185274,"LINESTRING (615968.4876593733 4832407.976840227, 615861.3227654463 4832370.620706309)","(790.0,)","('06-07-2016',)",22993.0,1170.0
380,381,20058519,2016,Long Branch Ave,20058520,13470639,0,59.2124554984,20058519,2,0.000557244875915,"LINESTRING (618352.4944649073 4827809.346698635, 618332.3978370518 4827865.036410873)","(238.0,)","('04-25-2016',)",11202.0,786.0
381,382,7585679,1962,Lake Shore Blvd W,13470639,13470645,0,135.071094895,7585679,3,0.00163540387578,"LINESTRING (618332.3978370518 4827865.036410873, 618204.5872661388 4827821.401720275)","(238.0,)","('04-25-2016',)",11202.0,786.0
383,384,912527,2604,The West Mall,13468898,13468675,0,279.440642871,912527,4,0.00281370845954,"LINESTRING (615968.4876593733 4832407.976840227, 615959.6232585815 4832434.605620362, 615956.2669758108 4832446.469357664, 615952.5034791855 4832456.727771111, 615947.5761095557 4832470.675222083, 615942.813326188 4832482.322481561, 615936.0998917184 4832495.654435124, 615930.0352411107 4832506.57019414, 615917.4559473664 4832525.359245292, 615906.962986193 4832538.16290806, 615899.7810708284 4832547.436300341, 615890.1942229614 4832557.526308198, 615880.9221586748 4832566.250900533, 615871.2514960415 4832575.778284213, 615860.8240449752 4832586.395001363, 615854.3917664399 4832592.974926848, 615846.4801907011 4832600.807122453, 615840.2992609228 4832609.473650395, 615834.2779375174 4832618.059019732, 615830.0135155193 4832624.54708716, 615821.4574557096 4832640.452842539)","(790.0,)","('06-07-2016',)",22993.0,1170.0
387,388,7586931,1962,Lake Shore Blvd W,13470629,13470639,0,136.973250692,7586931,4,0.0016589674579,"LINESTRING (618462.1044603261 4827909.003133906, 618332.3978370518 4827865.036410873)","(238.0,)","('04-25-2016',)",11202.0,786.0
395,396,7640791,1962,Lake Shore Blvd W,13470610,13470614,0,45.4001042331,7640791,4,0.000550238075052,"LINESTRING (618673.3686254421 4827978.010567902, 618630.3102489046 4827963.636198083)","(237.0,)","('02-18-2014',)",11260.0,638.0
396,397,14301804,2612,Thirtieth St,13470610,14301806,0,45.4963357885,14301804,4,0.000425091740612,"LINESTRING (618673.3686254421 4827978.010567902, 618659.453999212 4828020.505386552, 618659.2077472798 4828021.240873946)","(237.0,)","('02-18-2014',)",11260.0,638.0
403,404,913151,2164,Neilson Dr,13469498,13469349,0,314.627241148,913151,3,0.00294777035112,"LINESTRING (615980.054133022 4831488.021215338, 615972.510495197 4831508.918697393, 615882.7864528345 4831768.844830798, 615883.1702172823 4831779.107802113, 615885.0403026886 4831785.978746954)","(880.0,)","('11-25-2015',)",28100.0,223.0
404,405,913169,2765,West Mall Cres,13469498,13469504,0,305.607887542,913169,3,0.00367118948501,"LINESTRING (615980.054133022 4831488.021215338, 615980.2337177849 4831484.167472754, 615981.2522925087 4831477.378594847, 615982.3308941721 4831474.524939594, 615988.4584991602 4831463.707213357, 615989.17350039 4831462.991146182, 615995.0768629941 4831457.068562974, 616005.7980460501 4831451.386884099, 616019.9862135352 4831450.601152118, 616033.7812199645 4831453.432300598, 616096.2891716342 4831469.725468951, 616108.7167314168 4831472.238035975, 616120.5814534137 4831475.232529466, 616133.3646516666 4831475.051519749, 616146.5873566653 4831473.946187966, 616260.5762615348 4831472.78359386)","(880.0, 1337.0)","('11-25-2015', '11-28-2017')",20298.5,403.0
